Longitud,Latitud,Fecha_Acc,AA_Acc,Hora_Acc,Localidad,Gravedad_Indicador_Tradicional,Con_Embriaguez
-74.04697684233,4.74527733575,2024-06-04,2024,13,USAQUÉN,Con Heridos,NO
-74.07424149697,4.65318050949,2024-05-22,2024,18,BARRIOS UNIDOS,Con Heridos,NO
-74.11973176186,4.61276069438,2024-05-27,2024,16,PUENTE ARANDA,Con Heridos,NO
-74.11174682562,4.68148556475,2024-05-23,2024,8,ENGATIVÁ,Con Heridos,NO
-74.1382792372,4.58865314417,2024-05-26,2024,18,TUNJUELITO,Con Heridos,NO
-74.13695422594,4.65074773997,2024-05-25,2024,7,FONTIBÓN,Con Heridos,NO
-74.11542681639,4.68290239147,2024-05-29,2024,10,ENGATIVÁ,Con Heridos,NO
-74.11633608525,4.59182136717,2024-05-24,2024,8,ANTONIO NARIÑO,Con Heridos,NO
-74.17232183401,4.60748849077,2024-05-27,2024,11,KENNEDY,Con Heridos,NO
-74.09828750078,4.74589747502,2024-05-24,2024,19,SUBA,Con Heridos,NO
-74.10579500382,4.69584216369,2024-05-25,2024,4,ENGATIVÁ,Solo Daños,NO
-74.15633097675,4.6865763736,2024-05-25,2024,19,FONTIBÓN,Solo Daños,NO
-74.10195944493,4.69470204052,2024-05-27,2024,14,ENGATIVÁ,Con Heridos,NO
-74.101742186,4.73418156024,2024-05-27,2024,19,SUBA,Con Heridos,NO
-74.13353172724,4.64927470731,2024-05-24,2024,16,FONTIBÓN,Con Heridos,NO
-74.12540731613,4.5640367763,2024-05-30,2024,3,TUNJUELITO,Con Heridos,NO
-74.0722414082,4.7117037255,2024-05-30,2024,21,SUBA,Con Heridos,NO
-74.14119211619,4.57927405226,2024-05-22,2024,12,TUNJUELITO,Con Heridos,NO
-74.18433044917,4.63099302341,2024-05-27,2024,10,BOSA,Con Heridos,NO
-74.13165822653,4.60469208861,2024-04-11,2024,18,PUENTE ARANDA,Con Heridos,NO
-74.12218598311,4.62908770116,2024-04-13,2024,3,KENNEDY,Con Muertos,NO
-74.18535200541,4.62696229747,2024-04-13,2024,12,BOSA,Con Heridos,NO
-74.19647037151,4.6219758957,2024-04-14,2024,19,BOSA,Con Heridos,NO
-74.05591396277,4.69201813242,2024-04-13,2024,19,USAQUÉN,Con Heridos,NO
-74.06479871681,4.61320798476,2024-04-12,2024,14,SANTA FE,Con Heridos,NO
-74.08224789088,4.6001014582,2024-04-13,2024,7,SANTA FE,Con Heridos,NO
-74.10877493803,4.60573197206,2024-05-06,2024,6,PUENTE ARANDA,Con Heridos,SI
-74.11667404358,4.72132937718,2024-04-14,2024,21,ENGATIVÁ,Solo Daños,SI
-74.10380277449,4.69917339056,2024-04-21,2024,0,ENGATIVÁ,Solo Daños,SI
-74.13751212542,4.65024514478,2024-04-17,2024,6,KENNEDY,Con Heridos,NO
-74.07826212828,4.60245954208,2024-04-19,2024,18,SANTA FE,Con Heridos,NO
-74.15154812519,4.63190284866,2024-04-14,2024,17,KENNEDY,Con Heridos,NO
-74.13721708243,4.59128932058,2024-04-19,2024,12,TUNJUELITO,Solo Daños,NO
-74.0751132149,4.6105764241,2024-04-15,2024,19,SANTA FE,Con Heridos,NO
-74.09259585325,4.69083122157,2024-04-15,2024,10,ENGATIVÁ,Con Heridos,NO
-74.1129670012,4.67826719267,2024-01-19,2024,9,ENGATIVÁ,Solo Daños,NO
-74.07261387118,4.69615965558,2024-01-22,2024,7,SUBA,Con Heridos,NO
-74.11127475683,4.74619150637,2024-04-04,2024,13,SUBA,Con Heridos,NO
-74.0652109851,4.68907563111,2024-04-07,2024,12,BARRIOS UNIDOS,Con Heridos,NO
-74.08370945119,4.59127133512,2024-04-07,2024,15,SANTA FE,Con Heridos,NO
-74.14663163607,4.60887605728,2024-04-08,2024,17,KENNEDY,Con Heridos,NO
-74.07524732535,4.61064593586,2024-04-08,2024,19,SANTA FE,Con Heridos,NO
-74.04324221727,4.76856764975,2024-01-27,2024,5,USAQUÉN,Con Heridos,NO
-74.09279458425,4.73968073839,2024-01-27,2024,9,SUBA,Con Heridos,NO
-74.05466673165,4.75354199284,2024-01-27,2024,15,SUBA,Con Muertos,NO
-74.09849451873,4.63053306912,2024-01-27,2024,9,PUENTE ARANDA,Con Heridos,NO
-74.1010294505,4.57447362972,2024-01-27,2024,15,RAFAEL URIBE URIBE,Con Heridos,NO
-74.08289453915,4.62435420533,2024-01-26,2024,7,LOS MÁRTIRES,Con Heridos,NO
-74.02522578159,4.74707869972,2024-01-28,2024,8,USAQUÉN,Con Heridos,NO
-74.11332225117,4.59609395206,2024-01-26,2024,7,ANTONIO NARIÑO,Con Heridos,NO
-74.19880009784,4.60643122652,2024-01-24,2024,18,BOSA,Con Heridos,NO
-74.06773323859,4.63257777088,2024-06-17,2024,7,CHAPINERO,Con Heridos,NO
-74.16886178438,4.59606970487,2024-06-15,2024,9,BOSA,Solo Daños,SI
-74.05079851918,4.71885237611,2024-06-14,2024,14,USAQUÉN,Con Heridos,NO
-74.09651724283,4.73755361493,2024-06-12,2024,8,SUBA,Con Heridos,NO
-74.06212059443,4.7482951634,2024-06-12,2024,6,SUBA,Con Heridos,NO
-74.11913971448,4.66529561817,2024-06-13,2024,12,FONTIBÓN,Con Heridos,NO
-74.07034692948,4.59632636889,2024-06-14,2024,8,CANDELARIA,Con Heridos,NO
-74.16167882864,4.61697147796,2024-06-14,2024,15,KENNEDY,Con Heridos,NO
-74.10220889036,4.56714628706,2024-06-14,2024,1,SAN CRISTÓBAL,Con Heridos,NO
-74.15974495594,4.58487799427,2024-06-14,2024,6,CIUDAD BOLÍVAR,Con Heridos,NO
-74.14791373198,4.63076128498,2024-06-15,2024,6,KENNEDY,Con Heridos,NO
-74.10287032271,4.70398763272,2024-06-07,2024,19,ENGATIVÁ,Con Heridos,NO
-74.18165010102,4.60968191317,2024-06-16,2024,10,BOSA,Con Heridos,NO
-74.1075746495,4.61520027839,2024-06-17,2024,19,PUENTE ARANDA,Con Heridos,NO
-74.15126808884,4.67185320018,2024-06-13,2024,10,FONTIBÓN,Con Heridos,NO
-74.10057140176,4.54577514743,2024-02-26,2024,15,SAN CRISTÓBAL,Solo Daños,NO
-74.07739845698,4.62204577317,2024-06-10,2024,22,TEUSAQUILLO,Con Heridos,NO
-74.09526534208,4.69134874767,2024-06-08,2024,0,ENGATIVÁ,Con Heridos,NO
-74.07412616198,4.61249601572,2024-06-09,2024,16,SANTA FE,Con Heridos,NO
-74.13357196038,4.5833593731,2024-06-08,2024,18,TUNJUELITO,Con Heridos,NO
-74.09934429114,4.51233885886,2024-06-09,2024,3,USME,Con Heridos,NO
-74.08984927122,4.58214019603,2024-06-08,2024,0,SAN CRISTÓBAL,Con Heridos,NO
-74.13303283636,4.70403682768,2024-06-08,2024,12,ENGATIVÁ,Con Heridos,NO
-74.06074730341,4.62574586859,2024-06-08,2024,13,CHAPINERO,Con Heridos,NO
-74.16204360907,4.59783159458,2024-06-09,2024,22,BOSA,Con Heridos,NO
-74.06105173414,4.68626934835,2024-06-07,2024,6,BARRIOS UNIDOS,Con Heridos,NO
-74.10403279249,4.69448818368,2024-06-07,2024,4,ENGATIVÁ,Con Heridos,NO
-74.14684084837,4.60061210968,2024-06-07,2024,19,KENNEDY,Con Heridos,NO
-74.02758471983,4.7194659717,2024-01-20,2024,11,USAQUÉN,Solo Daños,NO
-74.10023746674,4.67992170552,2024-01-20,2024,13,ENGATIVÁ,Con Muertos,NO
-74.10405961458,4.70752932113,2024-01-20,2024,10,ENGATIVÁ,Con Heridos,NO
-74.17009560053,4.67935229949,2024-01-20,2024,19,FONTIBÓN,Con Heridos,NO
-74.10162428766,4.69245131753,2024-02-16,2024,8,ENGATIVÁ,Con Heridos,NO
-74.1037394458,4.49863120323,2024-02-21,2024,11,USME,Con Heridos,NO
-74.15207133146,4.65275989322,2024-02-22,2024,23,KENNEDY,Con Heridos,NO
-74.11321667616,4.71667013467,2024-02-21,2024,15,ENGATIVÁ,Con Heridos,NO
-74.09985893509,4.6262516641,2024-02-21,2024,5,PUENTE ARANDA,Con Heridos,NO
-74.02881292288,4.71729564581,2024-02-20,2024,10,USAQUÉN,Con Heridos,NO
-74.10563675349,4.59975255737,2024-02-03,2024,10,PUENTE ARANDA,Con Heridos,NO
-74.08625144472,4.61308126924,2024-03-07,2024,6,LOS MÁRTIRES,Con Heridos,NO
-74.14191093936,4.6737286833,2024-03-07,2024,15,FONTIBÓN,Con Heridos,NO
-74.12596936138,4.62946295925,2024-03-11,2024,18,KENNEDY,Con Heridos,NO
-74.09974418322,4.5102753468,2024-03-11,2024,6,USME,Con Heridos,NO
-74.0999614251,4.77062111078,2024-03-11,2024,21,SUBA,Con Heridos,NO
-74.07240954821,4.71305071301,2024-03-11,2024,6,SUBA,Con Heridos,NO
-74.12173000757,4.6028391875,2024-02-23,2024,3,PUENTE ARANDA,Con Heridos,SI
-74.1641048867,4.63107006878,2024-02-22,2024,8,KENNEDY,Con Heridos,NO
-74.16676161473,4.61755697542,2024-02-09,2024,8,KENNEDY,Con Heridos,NO
-74.05775127594,4.66534690422,2024-02-19,2024,14,CHAPINERO,Con Heridos,NO
-74.16540173476,4.62138542174,2024-06-14,2024,19,KENNEDY,Con Heridos,NO
-74.16872767393,4.61532994371,2024-06-14,2024,22,KENNEDY,Con Heridos,NO
-74.1920736212,4.62998598306,2024-06-14,2024,3,BOSA,Con Heridos,NO
-74.08669499342,4.68185447463,2024-06-16,2024,20,ENGATIVÁ,Con Muertos,NO
-74.15644208386,4.59629990021,2024-06-16,2024,15,CIUDAD BOLÍVAR,Con Heridos,NO
-74.14844883268,4.63185472658,2024-06-15,2024,15,KENNEDY,Con Heridos,NO
-74.12206260149,4.55787386262,2024-06-15,2024,8,RAFAEL URIBE URIBE,Con Heridos,NO
-74.14611324381,4.60445658648,2024-06-15,2024,15,KENNEDY,Con Heridos,NO
-74.16541803164,4.58880040544,2024-06-16,2024,11,CIUDAD BOLÍVAR,Con Heridos,NO
-74.2058609898,4.63568980212,2024-06-14,2024,8,BOSA,Con Heridos,NO
-74.15745810395,4.64536139847,2024-06-16,2024,21,KENNEDY,Con Heridos,NO
-74.06144392841,4.75010612504,2024-06-16,2024,1,SUBA,Con Heridos,NO
-74.08264485781,4.77106075862,2024-06-16,2024,2,SUBA,Con Heridos,NO
-74.08180264418,4.67910101218,2024-06-17,2024,22,BARRIOS UNIDOS,Con Heridos,NO
-74.15768770163,4.5964653952,2024-06-17,2024,18,BOSA,Con Muertos,NO
-74.08594665711,4.60521597716,2024-06-15,2024,21,LOS MÁRTIRES,Con Heridos,NO
-74.12918654864,4.5937276414,2024-06-17,2024,10,PUENTE ARANDA,Con Heridos,NO
-74.10434392874,4.65589664663,2024-06-19,2024,3,ENGATIVÁ,Con Heridos,NO
-74.12423519079,4.56068661764,2024-06-15,2024,21,TUNJUELITO,Con Heridos,NO
-74.13939796294,4.57321894546,2024-03-12,2024,13,TUNJUELITO,Con Heridos,NO
-74.18027385393,4.5975812487,2024-03-09,2024,8,BOSA,Con Heridos,NO
-74.04762764571,4.66699974264,2024-03-10,2024,10,CHAPINERO,Con Heridos,NO
-74.15180045791,4.69271129918,2024-03-13,2024,21,FONTIBÓN,Con Heridos,NO
-74.07182018828,4.61224519007,2024-03-13,2024,4,SANTA FE,Con Heridos,NO
-74.07760096376,4.6276266539,2024-04-29,2024,18,TEUSAQUILLO,Con Heridos,NO
