Fecha,Localidad,lat,lon,Nubosidad,Humedad,Precipitacion,Zona
2024-08-23,USAQUEN,4.6882,-74.0298,35.0,45.0,8.32,Norte
2024-08-24,USAQUEN,4.6882,-74.0298,79.0,64.0,0.0,Norte
2024-08-25,USAQUEN,4.6882,-74.0298,99.0,66.0,0.25,Norte
2024-08-26,USAQUEN,4.6882,-74.0298,98.0,82.0,0.0,Norte
2024-08-27,USAQUEN,4.6882,-74.0298,84.0,54.0,0.49,Norte
2024-08-28,USAQUEN,4.6882,-74.0298,85.0,59.0,0.47,Norte
2024-08-29,USAQUEN,4.6882,-74.0298,59.0,55.0,0.0,Norte
2024-08-30,USAQUEN,4.6882,-74.0298,24.0,42.0,0.0,Norte
2024-08-31,USAQUEN,4.6882,-74.0298,54.0,53.0,0.0,Norte
2024-09-01,USAQUEN,4.6882,-74.0298,73.0,72.0,0.56,Norte
2024-09-02,USAQUEN,4.6882,-74.0298,31.0,51.0,0.0,Norte
2024-09-03,USAQUEN,4.6882,-74.0298,31.0,42.0,0.0,Norte
2024-09-04,USAQUEN,4.6882,-74.0298,32.0,57.0,2.38,Norte
2024-09-05,USAQUEN,4.6882,-74.0298,40.0,45.0,0.0,Norte
2024-09-06,USAQUEN,4.6882,-74.0298,42.0,48.0,0.0,Norte
2024-09-07,USAQUEN,4.6882,-74.0298,75.0,45.0,0.0,Norte
2024-09-08,USAQUEN,4.6882,-74.0298,40.0,55.0,0.0,Norte
2024-09-09,USAQUEN,4.6882,-74.0298,20.0,37.0,0.0,Norte
2024-09-10,USAQUEN,4.6882,-74.0298,50.0,52.0,0.0,Norte
2024-09-11,USAQUEN,4.6882,-74.0298,75.0,40.0,0.0,Norte
2024-09-12,USAQUEN,4.6882,-74.0298,40.0,45.0,0.0,Norte
2024-09-13,USAQUEN,4.6882,-74.0298,77.0,45.0,3.61,Norte
2024-09-14,USAQUEN,4.6882,-74.0298,75.0,45.0,0.0,Norte
2024-09-15,USAQUEN,4.6882,-74.0298,10.0,39.0,0.0,Norte
2024-09-16,USAQUEN,4.6882,-74.0298,75.0,43.0,0.0,Norte
2024-09-17,USAQUEN,4.6882,-74.0298,40.0,52.0,0.0,Norte
2024-09-18,USAQUEN,4.6882,-74.0298,73.0,35.0,0.0,Norte
2024-09-19,USAQUEN,4.6882,-74.0298,57.0,34.0,0.0,Norte
2024-09-20,USAQUEN,4.6882,-74.0298,80.0,57.0,6.83,Norte
2024-09-21,USAQUEN,4.6882,-74.0298,91.0,51.0,0.0,Norte
2024-09-22,USAQUEN,4.6882,-74.0298,97.0,65.0,0.34,Norte
2024-09-23,USAQUEN,4.6882,-74.0298,100.0,40.0,0.0,Norte
2024-09-24,USAQUEN,4.6882,-74.0298,35.0,33.0,0.0,Norte
2024-09-25,USAQUEN,4.6882,-74.0298,57.0,45.0,0.0,Norte
2024-09-26,USAQUEN,4.6882,-74.0298,100.0,48.0,0.51,Norte
2024-09-27,USAQUEN,4.6882,-74.0298,79.0,62.0,0.0,Norte
2024-09-28,USAQUEN,4.6882,-74.0298,97.0,68.0,0.0,Norte
2024-09-29,USAQUEN,4.6882,-74.0298,100.0,93.0,0.0,Norte
2024-09-30,USAQUEN,4.6882,-74.0298,100.0,84.0,0.0,Norte
2024-10-01,USAQUEN,4.6882,-74.0298,26.0,50.0,0.0,Norte
2024-10-02,USAQUEN,4.6882,-74.0298,22.0,38.0,4.16,Norte
