fecha,localidad,zona,pm25_conc,pm25_nowcast,pm25_iboca,pm10_conc,pm10_nowcast,pm10_iboca,zona
2024-06-12,USAQUÉN,Norte,7.25,7.247916666666666,28.90416666666667,8.875,8.458333333333334,15.875,Norte
2024-06-13,USAQUÉN,Norte,10.916666666666666,10.734166666666667,41.181666666666665,10.958333333333334,10.708333333333334,19.708333333333332,Norte
2024-06-14,USAQUÉN,Norte,18.333333333333332,18.316666666666666,61.97958333333333,23.166666666666668,22.166666666666668,40.583333333333336,Norte
2024-06-15,USAQUÉN,Norte,16.833333333333332,16.659166666666668,58.7525,20.458333333333332,19.958333333333332,36.208333333333336,Norte
2024-06-16,USAQUÉN,Norte,5.619047619047619,5.115833333333334,20.840833333333332,7.2727272727272725,6.666666666666667,12.458333333333334,Norte
2024-06-17,USAQUÉN,Norte,10.791666666666666,10.85875,42.66416666666667,11.25,10.958333333333334,20.541666666666668,Norte
2024-06-18,USAQUÉN,Norte,18.833333333333332,18.063333333333333,62.08652173913043,23.52173913043478,20.25,36.541666666666664,Norte
2024-06-19,USAQUÉN,Norte,15.791666666666666,15.895416666666668,57.355,13.523809523809524,13.565217391304348,23.791666666666668,Norte
2024-06-20,USAQUÉN,Norte,13.409090909090908,13.151666666666666,46.095416666666665,9.470588235294118,7.25,12.904761904761905,Norte
2024-06-21,USAQUÉN,Norte,6.954545454545454,6.008333333333333,25.01875,8.125,7.875,14.875,Norte
2024-06-22,USAQUÉN,Norte,12.708333333333334,12.9525,46.38999999999999,11.043478260869565,9.916666666666666,18.916666666666668,Norte
2024-06-23,USAQUÉN,Norte,8.833333333333334,8.807083333333333,35.436521739130434,9.565217391304348,8.75,16.166666666666668,Norte
2024-06-24,USAQUÉN,Norte,9.458333333333334,9.48375,37.22416666666666,7.416666666666667,6.958333333333333,13.375,Norte
2024-06-25,USAQUÉN,Norte,6.454545454545454,3.8835,14.706818181818182,9.25,8.375,15.916666666666666,Norte
2024-06-26,USAQUÉN,Norte,9.641435159043855,9.35059,35.44081113306983,11.125,10.791666666666666,20.333333333333332,Norte
2024-06-27,USAQUÉN,Norte,9.641435159043855,9.35059,35.44081113306983,20.761904761904763,16.916666666666668,30.875,Norte
2024-06-28,USAQUÉN,Norte,9.641435159043855,9.35059,35.44081113306983,40.82608695652174,37.083333333333336,63.333333333333336,Norte
2024-06-29,USAQUÉN,Norte,9.641435159043855,9.35059,35.44081113306983,26.08695652173913,26.416666666666668,46.958333333333336,Norte
2024-06-30,USAQUÉN,Norte,9.641435159043855,9.35059,35.44081113306983,11.166666666666666,10.791666666666666,20.208333333333332,Norte
2024-07-01,USAQUÉN,Norte,7.125,7.6118749999999995,31.719375,8.8,8.1,15.4,Norte
2024-07-02,USAQUÉN,Norte,2.75,2.7292857142857145,11.372857142857143,10.0,9.428571428571429,17.785714285714285,Norte
2024-07-03,USAQUÉN,Norte,2.6,2.859,11.912,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-04,USAQUÉN,Norte,4.230769230769231,5.128461538461538,21.37076923076923,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-05,USAQUÉN,Norte,3.3846153846153846,1.7366666666666666,7.236666666666667,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-06,USAQUÉN,Norte,7.6,8.933,37.219,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-07,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-08,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-09,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-10,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-11,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-12,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-13,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-14,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-15,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-16,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-17,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-18,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-19,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-20,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-21,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-22,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-23,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-24,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-25,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-26,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-27,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-28,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-29,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-30,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-07-31,USAQUÉN,Norte,4.615064102564102,4.833048153235652,20.13844467338217,9.4,8.764285714285714,16.59285714285714,Norte
2024-08-01,USAQUÉN,Norte,7.5,6.767142857142857,28.197857142857142,19.130434782608695,23.214285714285715,43.07142857142857,Norte
2024-08-02,USAQUÉN,Norte,6.521739130434782,6.315833333333333,25.822083333333335,28.916666666666668,27.916666666666668,50.458333333333336,Norte
2024-08-03,USAQUÉN,Norte,7.35,6.2129166666666675,25.889999999999997,23.791666666666668,23.916666666666668,43.916666666666664,Norte
2024-08-04,USAQUÉN,Norte,8.380952380952381,7.215833333333333,29.831666666666667,21.333333333333332,20.708333333333332,38.416666666666664,Norte
2024-08-05,USAQUÉN,Norte,7.095238095238095,6.3875,26.63625,19.375,18.791666666666668,34.391304347826086,Norte
2024-08-06,USAQUÉN,Norte,4.0,2.686666666666666,11.191666666666668,15.875,15.791666666666666,29.25,Norte
2024-08-07,USAQUÉN,Norte,11.75,11.801666666666668,46.292083333333345,25.333333333333332,24.541666666666668,44.25,Norte
2024-08-08,USAQUÉN,Norte,8.625,8.667083333333332,33.71083333333333,31.0,30.458333333333332,53.82608695652174,Norte
2024-08-09,USAQUÉN,Norte,7.090909090909091,6.484583333333333,26.733333333333334,19.458333333333332,19.375,36.166666666666664,Norte
2024-08-10,USAQUÉN,Norte,4.3478260869565215,4.234166666666667,17.641666666666666,11.666666666666666,10.875,20.708333333333332,Norte
2024-08-11,USAQUÉN,Norte,7.565217391304348,7.027916666666667,28.85625,13.375,12.625,23.583333333333332,Norte
2024-08-12,USAQUÉN,Norte,6.956521739130435,6.791666666666667,27.99333333333333,25.125,24.625,44.04347826086956,Norte
2024-08-13,USAQUÉN,Norte,5.411764705882353,3.735416666666667,15.565000000000003,18.125,17.666666666666668,32.5,Norte
2024-08-14,USAQUÉN,Norte,12.666666666666666,12.472916666666668,49.911249999999995,24.25,23.791666666666668,43.583333333333336,Norte
2024-08-15,USAQUÉN,Norte,7.708333333333333,7.833333333333333,32.63916666666666,24.583333333333332,24.166666666666668,44.166666666666664,Norte
2024-08-16,USAQUÉN,Norte,7.416666666666667,7.373333333333334,30.69666666666667,23.625,22.791666666666668,41.75,Norte
2024-08-17,USAQUÉN,Norte,7.3478260869565215,7.227499999999999,29.94083333333333,29.75,29.541666666666668,51.875,Norte
2024-08-18,USAQUÉN,Norte,10.541666666666666,10.177083333333334,40.72608695652174,18.541666666666668,18.625,34.333333333333336,Norte
2024-08-19,USAQUÉN,Norte,7.434782608695652,7.4433333333333325,30.221666666666668,18.916666666666668,17.75,33.166666666666664,Norte
2024-08-20,USAQUÉN,Norte,7.5,7.489583333333333,31.165833333333335,23.666666666666668,20.333333333333332,37.04347826086956,Norte
2024-08-21,USAQUÉN,Norte,9.708333333333334,9.635,38.45708333333334,32.333333333333336,31.5,55.916666666666664,Norte
2024-08-22,USAQUÉN,Norte,8.181818181818182,7.640000000000001,31.824166666666667,42.625,42.291666666666664,70.70833333333333,Norte
2024-08-23,USAQUÉN,Norte,10.125,10.219166666666666,38.94166666666666,30.833333333333332,30.75,53.958333333333336,Norte
2024-08-24,USAQUÉN,Norte,3.9473684210526314,3.0824999999999996,12.844583333333333,22.0,21.708333333333332,39.416666666666664,Norte
2024-08-25,USAQUÉN,Norte,6.45,5.545833333333333,23.106666666666666,13.5,13.25,24.791666666666668,Norte
2024-08-26,USAQUÉN,Norte,14.043478260869565,12.52375,44.000416666666666,26.25,24.708333333333332,44.041666666666664,Norte
2024-08-27,USAQUÉN,Norte,19.0,19.515,65.41041666666666,23.166666666666668,23.458333333333332,42.625,Norte
2024-08-28,USAQUÉN,Norte,14.608695652173912,14.685416666666669,52.044999999999995,19.958333333333332,19.75,35.916666666666664,Norte
2024-08-29,USAQUÉN,Norte,10.210526315789474,7.399166666666666,29.667083333333334,25.708333333333332,25.333333333333332,45.583333333333336,Norte
2024-08-30,USAQUÉN,Norte,14.5,14.980416666666665,54.690416666666664,41.5,40.416666666666664,68.375,Norte
2024-08-31,USAQUÉN,Norte,24.958333333333332,23.74,75.66208333333333,45.833333333333336,44.958333333333336,74.91666666666667,Norte
2024-09-01,USAQUÉN,Norte,21.791666666666668,22.950000000000003,72.81083333333333,29.833333333333332,30.541666666666668,54.5,Norte
2024-09-02,USAQUÉN,Norte,20.333333333333332,20.324583333333333,67.8625,44.541666666666664,43.875,73.16666666666667,Norte
2024-09-03,USAQUÉN,Norte,30.5,27.61583333333333,83.74833333333333,35.708333333333336,36.25,62.208333333333336,Norte
2024-09-04,USAQUÉN,Norte,26.0,26.449999999999996,82.0442857142857,53.18181818181818,51.72727272727273,83.33333333333333,Norte
2024-09-05,USAQUÉN,Norte,9.619047619047619,9.125,36.05391304347826,25.416666666666668,25.583333333333332,45.958333333333336,Norte
2024-09-06,USAQUÉN,Norte,8.818181818181818,8.23625,33.86541666666667,25.166666666666668,24.875,45.458333333333336,Norte
2024-09-07,USAQUÉN,Norte,13.521739130434783,13.617272727272729,51.154545454545456,33.95652173913044,34.5,60.63636363636363,Norte
2024-09-08,USAQUÉN,Norte,9.173913043478262,9.295454545454545,38.49181818181818,26.333333333333332,26.529411764705884,48.294117647058826,Norte
2024-09-09,USAQUÉN,Norte,8.0,7.98125,33.18125,29.272727272727273,29.818181818181817,52.13636363636363,Norte
2024-09-10,USAQUÉN,Norte,7.909090909090909,7.926521739130435,31.95695652173913,25.833333333333332,26.041666666666668,48.0,Norte
2024-09-11,USAQUÉN,Norte,13.047619047619047,11.375217391304348,40.78818181818182,34.31578947368421,32.10526315789474,54.63157894736842,Norte
2024-09-12,USAQUÉN,Norte,12.708333333333334,12.191249999999998,46.432500000000005,19.52173913043478,18.52173913043478,33.21739130434783,Norte
2024-09-13,USAQUÉN,Norte,13.458333333333334,12.910416666666668,48.12916666666667,12.85,12.5,22.8,Norte
2024-09-14,USAQUÉN,Norte,10.208333333333334,10.665833333333333,42.30416666666667,8.208333333333334,8.375,15.75,Norte
2024-09-15,USAQUÉN,Norte,6.666666666666667,6.053333333333334,25.24458333333334,18.043478260869566,18.130434782608695,33.82608695652174,Norte
2024-09-16,USAQUÉN,Norte,6.130434782608695,4.614705882352941,19.228823529411763,21.727272727272727,21.181818181818183,38.27272727272727,Norte
2024-09-17,USAQUÉN,Norte,10.833333333333334,11.082272727272727,44.94190476190476,15.363636363636363,13.958333333333334,26.25,Norte
2024-09-18,USAQUÉN,Norte,6.608695652173913,6.307083333333334,26.097916666666663,24.083333333333332,23.958333333333332,43.125,Norte
2024-09-19,USAQUÉN,Norte,6.95,6.332272727272727,26.385,23.238095238095237,24.047619047619047,44.0,Norte
2024-09-20,USAQUÉN,Norte,9.1,8.950476190476191,35.364285714285714,35.0,34.68421052631579,59.8421052631579,Norte
2024-09-21,USAQUÉN,Norte,9.647058823529411,9.647058823529411,39.12764705882353,44.8,43.86666666666667,73.33333333333333,Norte
2024-09-22,USAQUÉN,Norte,8.5625,9.033125,37.072500000000005,27.1433793254208,27.022737962705953,47.5000013080557,Norte
2024-09-23,USAQUÉN,Norte,10.695652173913043,10.686521739130436,43.46304347826087,8.88888888888889,10.333333333333334,19.22222222222222,Norte
2024-09-24,USAQUÉN,Norte,12.08695652173913,11.689583333333333,41.59458333333333,21.458333333333332,21.0,38.083333333333336,Norte
2024-09-25,USAQUÉN,Norte,11.608695652173912,10.960416666666667,42.524166666666666,27.708333333333332,27.208333333333332,47.458333333333336,Norte
2024-09-26,USAQUÉN,Norte,15.523809523809524,14.764285714285714,54.74142857142857,25.352941176470587,25.823529411764707,46.529411764705884,Norte
2024-09-27,USAQUÉN,Norte,15.55,16.115,56.3745,40.666666666666664,39.27777777777778,67.16666666666667,Norte
2024-09-28,USAQUÉN,Norte,9.727272727272727,9.362608695652172,38.253478260869564,22.4,24.9,45.3,Norte
2024-09-29,USAQUÉN,Norte,16.705882352941178,16.408235294117645,58.251176470588234,27.1433793254208,27.022737962705953,47.5000013080557,Norte
2024-09-30,USAQUÉN,Norte,28.5,27.691999999999997,84.365,27.1433793254208,27.022737962705953,47.5000013080557,Norte
2024-10-01,USAQUÉN,Norte,15.777777777777779,13.976666666666667,51.19333333333333,27.094447522348133,26.511051500514096,46.298418501124225,Norte
2024-10-02,USAQUÉN,Norte,18.9,15.961818181818181,44.419999999999995,27.094447522348133,26.511051500514096,46.298418501124225,Norte
2024-10-03,USAQUÉN,Norte,7.0,6.5925,27.475,27.094447522348133,26.511051500514096,46.298418501124225,Norte
2024-10-04,USAQUÉN,Norte,17.77777777777778,17.668888888888887,64.17875000000001,27.094447522348133,26.511051500514096,46.298418501124225,Norte
